text,predicted_label,confidence,positive_probability,negative_probability
"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",POSITIVE,0.9998,0.9998,0.0002
"A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .",POSITIVE,0.9638,0.9638,0.0362
"ABOUT MIDNIGHTTRADER : MidnightTrader is the premier source of extended-hours US equity trading analysis , news and forecasting for the retail and institutional investment community .",POSITIVE,0.9986,0.9986,0.0014
Juha-Pekka Weckstr+Âm has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,POSITIVE,0.9932,0.9932,0.0068
"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",POSITIVE,0.94,0.94,0.06
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",NEGATIVE,0.5408,0.4592,0.5408
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",NEGATIVE,0.9931,0.0069,0.9931
"Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs .",POSITIVE,0.9761,0.9761,0.0239
"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",POSITIVE,0.9985,0.9985,0.0015
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",POSITIVE,0.9457,0.9457,0.0543
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,NEGATIVE,0.8669,0.1331,0.8669
All are welcome .,POSITIVE,0.9998,0.9998,0.0002
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,NEGATIVE,0.9101,0.0899,0.9101
"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",NEGATIVE,0.6947,0.3053,0.6947
"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",POSITIVE,0.9968,0.9968,0.0032
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,POSITIVE,0.958,0.958,0.042
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",NEGATIVE,0.5288,0.4712,0.5288
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",POSITIVE,0.9991,0.9991,0.0009
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",POSITIVE,0.7273,0.7273,0.2727
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",POSITIVE,0.8666,0.8666,0.1334
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .",NEGATIVE,0.971,0.029,0.971
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,POSITIVE,0.9439,0.9439,0.0561
"FinancialWire tm is a fully independent , proprietary news wire service .",POSITIVE,0.9555,0.9555,0.0445
Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .,NEGATIVE,0.9905,0.0095,0.9905
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",POSITIVE,0.9922,0.9922,0.0078
Halonen 's office acknowledged receiving the letter but declined comment .,NEGATIVE,0.9698,0.0302,0.9698
"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",NEGATIVE,0.9855,0.0145,0.9855
"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",POSITIVE,0.9983,0.9983,0.0017
"However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .",NEGATIVE,0.9675,0.0325,0.9675
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",POSITIVE,0.7902,0.7902,0.2098
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",NEGATIVE,0.8444,0.1556,0.8444
"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .",POSITIVE,0.9952,0.9952,0.0048
It also recovers valuable raw material for Kemira 's water chemical production .,POSITIVE,0.999,0.999,0.001
"It is necessary to strengthen the company 's operations , however .",POSITIVE,0.9689,0.9689,0.0311
It will use the proceeds from the transaction to achieve its target .,NEGATIVE,0.642,0.358,0.642
Le Lay succeeds Walter G++nter and will be based in Finland .,POSITIVE,0.9991,0.9991,0.0009
"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",POSITIVE,0.9499,0.9499,0.0501
"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",POSITIVE,0.9877,0.9877,0.0123
"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",NEGATIVE,0.9925,0.0075,0.9925
Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .,POSITIVE,0.9994,0.9994,0.0006
Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .,POSITIVE,0.9994,0.9994,0.0006
"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .",POSITIVE,0.9997,0.9997,0.0003
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",POSITIVE,0.9996,0.9996,0.0004
"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",NEGATIVE,0.9987,0.0013,0.9987
"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",POSITIVE,0.9836,0.9836,0.0164
"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .",NEGATIVE,0.5857,0.4143,0.5857
"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .",POSITIVE,0.9931,0.9931,0.0069
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",POSITIVE,0.9925,0.9925,0.0075
"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",POSITIVE,0.9967,0.9967,0.0032
Other potential clients include public administration organizations investing in utility networks and services .,POSITIVE,0.9764,0.9764,0.0236
"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",POSITIVE,0.9971,0.9971,0.0029
"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .",POSITIVE,0.9986,0.9986,0.0014
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",POSITIVE,0.9398,0.9398,0.0602
Satama and Trainers ' House will remain as names and independent brands of the business areas .,POSITIVE,0.9962,0.9962,0.0038
"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",NEGATIVE,0.9844,0.0156,0.9844
Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,POSITIVE,0.9991,0.9991,0.0009
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",NEGATIVE,0.9953,0.0047,0.9953
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",NEGATIVE,0.9934,0.0066,0.9934
The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,NEGATIVE,0.6884,0.3116,0.6884
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,POSITIVE,0.7925,0.7925,0.2075
The company admits that 36 months is a relatively short time when operating in Russia .,NEGATIVE,0.9966,0.0034,0.9966
The company has a wide selection of metal products and services .,POSITIVE,0.998,0.998,0.002
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",POSITIVE,0.9957,0.9957,0.0043
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,NEGATIVE,0.9869,0.0131,0.9869
The Court 's decision will also promote genuine competition in services,POSITIVE,0.9997,0.9997,0.0003
"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",NEGATIVE,0.9911,0.0089,0.9911
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",NEGATIVE,0.9483,0.0517,0.9483
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",POSITIVE,0.9544,0.9544,0.0456
"The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .",POSITIVE,0.98,0.98,0.02
